date,ShopID,RegionID,CityID,y_to_predict
2020-04-01,60,36,4,0.9229083
2020-05-01,60,36,4,1.101429
2020-06-01,60,36,4,1.1802032
2020-07-01,60,36,4,1.233959
2020-08-01,60,36,4,2.4626694
2020-09-01,60,36,4,1.2149591
2020-10-01,60,36,4,1.1893101
2020-11-01,60,36,4,1.5729198
2020-12-01,60,36,4,2.698824
2020-04-01,74,8,4,2.674932
2020-05-01,74,8,4,3.1958876
2020-06-01,74,8,4,3.5179439
2020-07-01,74,8,4,3.7186975
2020-08-01,74,8,4,5.21172
2020-09-01,74,8,4,3.7233768
2020-10-01,74,8,4,3.7354455
2020-11-01,74,8,4,4.435463
2020-12-01,74,8,4,7.12696
2020-04-01,89,52,36,4.282535
2020-05-01,89,52,36,4.921806
2020-06-01,89,52,36,5.260647
2020-07-01,89,52,36,5.5284476
2020-08-01,89,52,36,7.1087813
2020-09-01,89,52,36,5.4657164
2020-10-01,89,52,36,5.4630523
2020-11-01,89,52,36,6.177965
2020-12-01,89,52,36,8.904488
2020-04-01,19,8,4,2.2752814
2020-05-01,19,8,4,2.6261296
2020-06-01,19,8,4,2.8950872
2020-07-01,19,8,4,3.0666466
2020-08-01,19,8,4,4.6445937
2020-09-01,19,8,4,3.0522485
2020-10-01,19,8,4,3.0773983
2020-11-01,19,8,4,3.720108
2020-12-01,19,8,4,6.3561687
2020-04-01,119,67,45,2.2466156
2020-05-01,119,67,45,2.682602
2020-06-01,119,67,45,3.006236
2020-07-01,119,67,45,3.2562451
2020-08-01,119,67,45,4.851671
2020-09-01,119,67,45,3.1877713
2020-10-01,119,67,45,3.1775413
2020-11-01,119,67,45,3.6787457
2020-12-01,119,67,45,6.004395
2020-04-01,133,27,21,2.2945886
2020-05-01,133,27,21,2.6946354
2020-06-01,133,27,21,2.9757042
2020-07-01,133,27,21,3.1933503
2020-08-01,133,27,21,4.8257546
2020-09-01,133,27,21,3.1221757
2020-10-01,133,27,21,3.1437478
2020-11-01,133,27,21,3.8285527
2020-12-01,133,27,21,6.5001664
2020-04-01,110,63,24,0.9327203
2020-05-01,110,63,24,1.0930722
2020-06-01,110,63,24,1.1801606
2020-07-01,110,63,24,1.2358544
2020-08-01,110,63,24,2.2673259
2020-09-01,110,63,24,1.2097285
2020-10-01,110,63,24,1.1921914
2020-11-01,110,63,24,1.5149521
2020-12-01,110,63,24,2.379403
2020-04-01,112,64,43,1.3340362
2020-05-01,112,64,43,1.66267
